Account_ID,Customer_ID,Branch_ID,Account_Type,Open_Date,Balance,Account_Status
ACC00015,CUST00015,BR041,Savings,2022-07-31,25647.42,Active
ACC00195,CUST00195,BR041,Savings,2022-03-01,116286.03,Active
ACC00243,CUST00243,BR041,Savings,2024-03-31,33494.75,Active
ACC00724,CUST00724,BR041,Savings,2021-11-05,43818.73,Active
ACC00776,CUST00776,BR041,Savings,2023-06-26,46846.79,Active
ACC00854,CUST00854,BR041,Savings,2023-10-05,102230.3,Active
ACC00899,CUST00899,BR041,Savings,2023-08-04,50804.54,Active
ACC01138,CUST01138,BR041,Savings,2024-02-11,172831.57,Active
ACC01164,CUST01164,BR041,Savings,2022-08-19,42632.17,Active
ACC01212,CUST01212,BR041,Savings,2021-03-18,20109.16,Active
ACC01254,CUST01254,BR041,Savings,2022-06-29,20538.77,Active
ACC01336,CUST01336,BR041,Savings,2022-12-23,21342.35,Active
ACC01341,CUST01341,BR041,Savings,2022-12-24,19456.33,Active
ACC01359,CUST01359,BR041,Savings,2022-11-14,18526.63,Active
ACC01371,CUST01371,BR041,Savings,2022-03-30,96102.6,Active
ACC01386,CUST01386,BR041,Savings,2021-12-02,15436.65,Active
ACC01425,CUST01425,BR041,Savings,2023-06-09,51181.74,Active
ACC01513,CUST01513,BR041,Savings,2022-12-09,121800.16,Active
ACC01619,CUST01619,BR041,Savings,2022-07-11,34953.06,Active
ACC01668,CUST01668,BR041,Savings,2021-05-24,64919.82,Active
ACC01704,CUST01704,BR041,Savings,2022-06-13,57740.09,Active
ACC01787,CUST01787,BR041,Savings,2022-10-30,36664.53,Active
ACC01825,CUST01825,BR041,Savings,2022-10-13,107446.93,Active
ACC01856,CUST01856,BR041,Savings,2023-11-26,25039.05,Active
ACC01866,CUST01866,BR041,Savings,2021-05-31,125751.75,Active
ACC01919,CUST01919,BR041,Savings,2023-02-15,41808.53,Active
ACC01933,CUST01933,BR041,Savings,2023-02-27,200185.92,Active
ACC01951,CUST01951,BR041,Savings,2021-09-23,25206.83,Active
ACC02109,CUST02109,BR041,Savings,2023-10-07,119694.63,Active
ACC02257,CUST02257,BR041,Savings,2023-07-24,84431.56,Active
