Loan_ID,Customer_ID,Account_ID,Loan_Type,Loan_Amount,Interest_Rate,Tenure_Months,Loan_Status,Approval_Date
LN00044,CUST03539,ACC03539,Personal,366589,9.69,36,Active,2022-07-07
LN00050,CUST01890,ACC01890,Personal,261396,8.26,36,Active,2023-01-09
LN00071,CUST00478,ACC00478,Personal,363156,8.30,36,Active,2024-01-21
LN00086,CUST03044,ACC03044,Personal,496600,11.64,36,Active,2023-11-08
LN00116,CUST01460,ACC01460,Personal,330971,12.67,36,Active,2023-07-03
LN00128,CUST04762,ACC04762,Personal,576807,7.00,36,Active,2024-05-19
LN00152,CUST02236,ACC02236,Personal,653896,14.23,36,Active,2023-09-11
LN00153,CUST02127,ACC02127,Personal,627006,15.45,36,Active,2022-07-21
LN00175,CUST02844,ACC02844,Personal,429631,12.11,36,Active,2022-02-17
LN00177,CUST01464,ACC01464,Personal,228700,9.75,36,Active,2025-03-16
LN00222,CUST04280,ACC04280,Personal,178031,12.88,36,Active,2024-06-11
LN00235,CUST00462,ACC00462,Personal,673681,11.81,36,Active,2022-06-03
LN00275,CUST02328,ACC02328,Personal,658425,15.15,36,Active,2024-03-07
LN00293,CUST00176,ACC00176,Personal,497570,9.10,36,Active,2023-10-20
LN00322,CUST04949,ACC04949,Personal,281781,10.98,36,Active,2022-02-24
LN00364,CUST03345,ACC03345,Personal,146772,11.32,36,Active,2022-06-28
LN00366,CUST04164,ACC04164,Personal,726176,12.41,36,Active,2022-12-07
LN00370,CUST00241,ACC00241,Personal,453265,8.24,36,Active,2024-12-23
LN00379,CUST00781,ACC00781,Personal,491779,14.80,36,Active,2024-11-01
LN00392,CUST02023,ACC02023,Personal,239892,15.07,36,Active,2025-02-28
LN00424,CUST02954,ACC02954,Personal,131019,14.03,36,Active,2022-07-14
LN00449,CUST02913,ACC02913,Personal,144282,11.56,36,Active,2023-08-11
LN00473,CUST01197,ACC01197,Personal,780816,14.60,36,Active,2023-07-13
LN00517,CUST04815,ACC04815,Personal,390613,12.51,36,Active,2024-10-11
LN00526,CUST02665,ACC02665,Personal,99884,12.25,36,Active,2023-10-05
LN00557,CUST04414,ACC04414,Personal,172867,14.73,36,Active,2022-06-02
LN00576,CUST04219,ACC04219,Personal,270551,11.21,36,Active,2023-02-19
LN00619,CUST03830,ACC03830,Personal,404680,13.01,36,Active,2024-03-01
LN00624,CUST01019,ACC01019,Personal,234977,9.05,36,Active,2025-02-18
LN00637,CUST02970,ACC02970,Personal,442983,9.74,36,Active,2024-11-26
LN00643,CUST01298,ACC01298,Personal,556486,7.96,36,Active,2022-01-01
LN00645,CUST04540,ACC04540,Personal,178654,7.93,36,Active,2022-12-18
LN00647,CUST01804,ACC01804,Personal,697872,7.71,36,Active,2023-07-20
LN00656,CUST00297,ACC00297,Personal,574577,11.82,36,Active,2025-09-09
LN00761,CUST04017,ACC04017,Personal,69868,9.56,36,Active,2024-10-21
LN00769,CUST04239,ACC04239,Personal,77551,15.93,36,Active,2024-10-10
LN00771,CUST03949,ACC03949,Personal,323449,8.70,36,Active,2022-12-13
LN00780,CUST01986,ACC01986,Personal,344444,12.34,36,Active,2025-05-27
LN00786,CUST04455,ACC04455,Personal,677537,7.68,36,Active,2025-04-20
LN00793,CUST04059,ACC04059,Personal,332487,10.93,36,Active,2022-11-17
LN00829,CUST03616,ACC03616,Personal,483398,10.77,36,Active,2025-01-02
LN00855,CUST00574,ACC00574,Personal,469634,10.31,36,Active,2024-08-26
LN00863,CUST02199,ACC02199,Personal,220896,11.91,36,Active,2025-05-13
LN00891,CUST00105,ACC00105,Personal,194285,11.55,36,Active,2023-03-08
LN00910,CUST04908,ACC04908,Personal,648868,14.40,36,Active,2025-12-03
LN00951,CUST04686,ACC04686,Personal,50027,11.07,36,Active,2023-02-26
LN00955,CUST03172,ACC03172,Personal,684294,7.96,36,Active,2022-07-10
LN00971,CUST01555,ACC01555,Personal,207431,15.08,36,Active,2024-06-27
LN01004,CUST00904,ACC00904,Personal,86274,11.98,36,Active,2022-06-17
LN01007,CUST03853,ACC03853,Personal,259643,9.51,36,Active,2023-09-06
LN01018,CUST01144,ACC01144,Personal,478340,13.46,36,Active,2023-08-12
LN01020,CUST02165,ACC02165,Personal,597800,7.03,36,Active,2021-06-15
LN01021,CUST00989,ACC00989,Personal,627967,9.97,36,Active,2021-07-24
LN01026,CUST04159,ACC04159,Personal,237742,12.27,36,Active,2023-07-17
LN01073,CUST02373,ACC02373,Personal,627080,8.22,36,Active,2025-08-26
LN01138,CUST01471,ACC01471,Personal,795689,11.95,36,Active,2024-11-28
LN01144,CUST03478,ACC03478,Personal,319554,9.63,36,Active,2024-01-26
LN01169,CUST04325,ACC04325,Personal,104312,8.20,36,Active,2022-06-03
LN01196,CUST01849,ACC01849,Personal,181288,14.81,36,Active,2024-02-08
LN01203,CUST02820,ACC02820,Personal,157218,8.10,36,Active,2024-03-19
LN01206,CUST01504,ACC01504,Personal,438038,12.30,36,Active,2023-03-15
LN01214,CUST03174,ACC03174,Personal,288530,15.10,36,Active,2022-08-06
LN01245,CUST03502,ACC03502,Personal,311881,10.74,36,Active,2023-09-02
LN01252,CUST02984,ACC02984,Personal,156159,12.66,36,Active,2024-06-17
LN01264,CUST02175,ACC02175,Personal,503606,13.04,36,Active,2023-10-02
LN01285,CUST04293,ACC04293,Personal,687880,7.62,36,Active,2024-08-06
LN01309,CUST02815,ACC02815,Personal,54742,14.45,36,Active,2023-12-07
LN01342,CUST02806,ACC02806,Personal,363924,7.92,36,Active,2022-02-01
LN01371,CUST00272,ACC00272,Personal,197187,12.63,36,Active,2023-06-05
LN01373,CUST02763,ACC02763,Personal,340489,15.53,36,Active,2024-01-11
LN01393,CUST04351,ACC04351,Personal,262706,9.10,36,Active,2022-11-21
LN01394,CUST01084,ACC01084,Personal,715439,8.06,36,Active,2022-02-18
LN01399,CUST01668,ACC01668,Personal,164301,8.00,36,Active,2022-03-30
LN01406,CUST00666,ACC00666,Personal,334732,9.42,36,Active,2025-05-19
LN01443,CUST03374,ACC03374,Personal,153274,11.08,36,Active,2022-06-05
LN01460,CUST03601,ACC03601,Personal,433751,10.88,36,Active,2024-10-10
LN01464,CUST02455,ACC02455,Personal,75575,7.39,36,Active,2024-05-27
LN01479,CUST03840,ACC03840,Personal,698659,8.06,36,Active,2022-12-31
LN01483,CUST02347,ACC02347,Personal,103450,8.40,36,Active,2022-10-01
LN01486,CUST01966,ACC01966,Personal,373944,8.54,36,Active,2023-10-08
